date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2024-12-12,95408.93000000,72.6,Greed,False,4,83,1.0113,17.06,0.79,-1.19,-3.76,-3.27
2024-12-13,96550.41000000,66.8,Greed,False,4,76,1.0313,17.49,0.59,-2.51,-6.36,-4.36
2024-12-14,96423.48000000,76.0,Greed,False,4,83,1.0292,16.36,0.33,-3.00,-5.41,-4.52
2024-12-15,99133.61000000,69.3,Greed,False,4,80,1.0593,18.58,0.70,-7.85,-9.59,-5.48
2024-12-16,100552.50000000,77.9,Greed,False,4,83,1.0837,19.20,1.45,-9.36,-11.47,-3.35
2024-12-17,101146.17000000,76.1,Greed,False,4,87,1.0997,18.87,0.88,-6.19,-10.82,-4.22
2024-12-18,96801.92000000,65.8,Greed,False,4,81,1.0981,12.98,1.25,-1.24,-5.81,4.33
2024-12-19,94271.54000000,63.5,Neutral,False,4,75,1.0854,9.32,1.49,-2.60,0.03,6.97
2024-12-20,94129.32000000,61.9,Neutral,False,4,74,1.0641,8.41,1.60,-3.95,0.89,4.82
2024-12-21,93535.53000000,67.3,Greed,False,4,73,1.0545,7.01,0.59,-2.48,1.74,5.07
2024-12-22,91350.71000000,61.7,Neutral,False,4,73,0.9928,3.86,0.49,-1.88,4.44,11.58
2024-12-23,91144.87000000,58.6,Neutral,False,4,70,0.9962,2.98,0.73,-2.34,8.02,9.34
2024-12-24,94882.42000000,59.9,Neutral,False,4,73,1.0083,6.42,0.65,-4.93,-1.12,5.24
2024-12-25,95596.79000000,57.9,Neutral,False,4,73,1.0172,6.45,0.46,-4.62,-3.52,4.56
2024-12-26,91820.51000000,61.6,Neutral,False,4,79,1.0123,1.76,0.69,2.70,-1.93,8.84
2024-12-27,90409.02000000,61.0,Neutral,False,4,74,1.0256,-0.25,0.72,5.04,2.38,8.48
2024-12-28,91211.32000000,54.1,Neutral,False,4,72,1.0472,0.19,0.28,4.33,1.18,7.22
2024-12-29,89630.32000000,63.0,Neutral,False,4,73,1.0664,-1.94,0.57,6.44,3.03,8.46
2024-12-30,89014.63000000,57.1,Neutral,False,4,65,1.0416,-2.91,0.98,10.61,3.43,11.72
2024-12-31,90206.00000000,55.4,Neutral,False,4,64,1.0119,-1.78,1.00,4.00,3.87,11.48
2025-01-01,91180.01000000,50.0,Neutral,False,4,66,0.9956,-0.92,0.49,1.15,6.59,8.63
2025-01-02,94299.70000000,57.6,Neutral,False,4,70,1.0259,2.27,0.95,-4.51,2.74,3.42
2025-01-03,94966.61000000,62.3,Neutral,False,4,74,0.9514,2.73,2.43,-2.53,6.35,0.59
2025-01-04,95163.64000000,49.2,Neutral,False,4,73,0.9448,2.74,0.31,-3.02,5.97,3.35
2025-01-05,95402.12000000,49.5,Neutral,False,4,72,0.9556,2.78,0.25,-3.21,3.42,-0.97
2025-01-06,98458.40000000,61.3,Neutral,False,4,76,0.9707,5.76,0.93,-6.49,-0.19,-5.58
2025-01-07,93817.29000000,52.1,Neutral,False,4,78,0.9522,0.60,1.25,-0.12,8.64,-0.81
2025-01-08,92230.00000000,50.4,Neutral,False,4,70,0.9568,-1.21,1.39,5.37,8.05,1.47
2025-01-09,90043.94000000,50.1,Neutral,False,4,69,0.9563,-3.57,1.39,7.59,10.90,3.95
2025-01-10,92559.57000000,57.4,Neutral,False,4,50,1.0472,-0.86,1.30,9.11,7.99,1.16
2025-01-11,92290.71000000,63.2,Neutral,False,4,69,1.0437,-1.10,0.32,9.27,8.28,2.53
2025-01-12,92344.22000000,53.7,Neutral,False,4,62,1.0804,-1.03,0.49,6.85,6.20,0.11
2025-01-13,92066.92000000,51.5,Neutral,False,4,61,1.0905,-1.29,2.02,6.74,6.22,2.30
2025-01-14,93700.80000000,62.6,Neutral,False,4,63,1.1387,0.35,0.99,8.78,3.75,-1.39
2025-01-15,97185.26000000,68.9,Greed,False,4,70,1.1541,3.87,1.28,2.54,2.33,-4.31
2025-01-16,96881.52000000,65.1,Greed,False,4,75,1.1314,3.41,0.98,3.07,3.80,-3.87
2025-01-17,100996.00000000,73.4,Greed,False,4,75,1.1243,7.57,1.69,-1.03,-1.93,-9.16
2025-01-18,100846.96000000,66.3,Greed,False,4,77,1.1226,7.21,1.30,-0.90,-3.29,-9.43
2025-01-19,98668.03000000,54.6,Neutral,False,4,77,1.0756,4.72,2.46,-0.60,-3.19,-7.23
2025-01-20,98275.85000000,53.4,Neutral,False,4,76,1.0602,4.17,2.66,-0.49,0.08,-5.88
2025-01-21,101926.59000000,65.2,Greed,False,4,76,1.0482,7.79,1.08,-4.63,-7.31,-8.20
