date,close_price,sentiment_score,sentiment_label,concordance,active_pillars,fng_raw,taker_ratio,dist_50dma_pct,vol_ratio,fwd_return_7d,fwd_return_14d,fwd_return_30d
2025-02-23,96258.00000000,46.9,Neutral,False,4,50,0.8806,-2.72,0.55,-2.07,-16.13,-9.21
2025-02-24,91552.88000000,34.5,Fear,False,4,49,0.8663,-7.35,1.63,-5.82,-14.15,-5.07
2025-02-25,88680.40000000,23.8,Fear,False,4,25,0.8498,-10.01,3.57,-1.58,-6.48,-1.63
2025-02-26,84250.09000000,24.5,Fear,False,4,21,0.8784,-14.28,2.41,7.54,-0.68,0.21
2025-02-27,84708.58000000,32.7,Fear,False,4,10,0.8725,-13.63,1.76,6.17,-4.24,-2.43
2025-02-28,84349.94000000,23.1,Fear,False,4,16,0.8756,-13.85,3.00,2.91,-0.43,-2.32
2025-03-01,86064.53000000,31.2,Fear,False,4,20,0.8686,-11.95,0.91,0.18,-2.01,-4.08
2025-03-02,94270.00000000,45.0,Neutral,False,4,26,0.9266,-3.55,1.82,-14.36,-12.41,-9.67
2025-03-03,86220.61000000,34.7,Fear,False,4,33,0.9336,-11.63,1.84,-8.84,-2.56,-4.30
2025-03-04,87281.98000000,39.0,Neutral,False,4,15,0.9538,-10.41,1.66,-4.98,-5.23,-4.66
2025-03-05,90606.01000000,36.7,Neutral,False,4,20,0.9590,-6.88,1.11,-7.64,-4.15,-7.41
2025-03-06,89931.89000000,38.6,Neutral,False,4,25,0.9724,-7.38,0.98,-9.80,-6.35,-7.11
2025-03-07,86801.75000000,37.4,Neutral,False,4,34,0.9772,-10.36,1.54,-3.25,-3.13,-9.64
2025-03-08,86222.45000000,45.8,Neutral,False,4,28,1.0004,-10.63,0.34,-2.19,-2.76,-8.19
2025-03-09,80734.37000000,37.3,Neutral,False,4,27,0.9603,-15.90,0.68,2.28,6.62,-5.46
2025-03-10,78595.86000000,29.5,Fear,False,4,20,0.9650,-17.74,1.20,6.89,11.33,5.11
2025-03-11,82932.99000000,37.9,Neutral,False,4,24,0.9631,-12.84,1.18,-0.26,5.38,-4.01
2025-03-12,83680.12000000,37.7,Neutral,False,4,34,0.9578,-11.64,0.76,3.78,3.86,-0.31
2025-03-13,81115.78000000,44.4,Neutral,False,4,45,0.9410,-13.94,0.66,3.83,7.54,5.13
2025-03-14,83983.20000000,36.1,Neutral,False,4,27,0.9613,-10.52,0.63,0.13,0.53,-0.27
2025-03-15,84338.44000000,37.1,Neutral,False,4,46,0.9397,-9.75,0.27,-0.59,-2.00,0.30
2025-03-16,82574.53000000,43.8,Neutral,False,4,30,0.9502,-11.21,0.42,4.25,-0.22,1.30
2025-03-17,84010.03000000,34.4,Fear,False,4,32,0.9537,-9.31,0.44,4.15,-1.74,0.02
2025-03-18,82715.03000000,43.8,Neutral,False,4,34,0.9351,-10.33,0.48,5.66,2.95,2.70
2025-03-19,86845.94000000,35.7,Neutral,False,4,32,0.9336,-5.55,0.78,0.07,-4.99,-2.73
2025-03-20,84223.39000000,44.6,Neutral,False,4,49,0.9274,-8.02,0.67,3.57,-1.20,1.01
2025-03-21,84088.79000000,40.3,Neutral,False,4,31,0.8902,-7.75,0.37,0.40,-0.24,1.30
2025-03-22,83840.59000000,39.5,Neutral,False,4,32,0.8732,-7.64,0.18,-1.42,-0.36,4.38
2025-03-23,86082.50000000,35.4,Neutral,False,4,30,0.8961,-4.87,0.31,-4.29,-8.89,8.55
2025-03-24,87498.16000000,43.8,Neutral,False,4,45,0.8909,-3.08,1.15,-5.66,-9.53,7.08
2025-03-25,87392.87000000,42.9,Neutral,False,4,46,0.8728,-2.90,0.89,-2.56,-12.67,7.54
2025-03-26,86909.17000000,44.9,Neutral,False,4,47,0.8604,-3.21,0.75,-5.05,-4.94,8.89
2025-03-27,87232.01000000,38.8,Neutral,False,4,40,0.8698,-2.64,0.76,-4.61,-8.74,8.48
2025-03-28,84424.38000000,36.1,Neutral,False,4,44,0.8508,-5.52,1.17,-0.63,-1.19,11.05
2025-03-29,82648.54000000,35.8,Neutral,False,4,26,0.8789,-7.22,0.52,1.08,3.18,14.96
2025-03-30,82389.99000000,38.2,Neutral,False,4,32,0.8537,-7.22,0.48,-4.81,1.66,14.40
2025-03-31,82550.01000000,33.9,Fear,False,4,34,0.8560,-6.74,1.07,-4.10,2.47,14.08
2025-04-01,85158.34000000,41.7,Neutral,False,4,34,0.9011,-3.53,1.09,-10.38,-1.78,13.31
2025-04-02,82516.29000000,33.5,Fear,False,4,44,0.9305,-6.24,2.08,0.12,1.83,17.42
2025-04-03,83213.09000000,41.1,Neutral,False,4,25,0.9482,-5.13,1.42,-4.33,2.08,15.19
2025-04-04,83889.87000000,48.5,Neutral,False,4,28,0.9803,-4.08,1.62,-0.56,0.70,12.38
2025-04-05,83537.99000000,49.1,Neutral,False,4,30,0.9561,-4.18,0.47,2.08,1.84,13.40
2025-04-06,78430.00000000,35.4,Neutral,False,4,34,0.9403,-9.64,1.37,6.80,8.61,23.47
2025-04-07,79163.24000000,40.7,Neutral,False,4,23,0.9494,-8.44,3.34,6.86,10.55,22.57
2025-04-08,76322.42000000,27.7,Fear,False,4,24,0.9166,-11.33,1.48,9.59,22.43,35.30
2025-04-09,82615.22000000,43.8,Neutral,False,4,18,0.9190,-3.72,2.85,1.71,13.41,24.64
2025-04-10,79607.30000000,30.9,Fear,False,4,39,0.9078,-6.86,1.21,6.71,18.06,31.66
2025-04-11,83423.84000000,38.8,Neutral,False,4,25,0.9312,-2.05,1.19,1.26,13.44,24.81
2025-04-12,85276.90000000,43.3,Neutral,False,4,43,0.9754,0.38,0.63,-0.23,10.97,20.54
2025-04-13,83760.00000000,46.9,Neutral,False,4,45,0.9878,-1.11,0.84,1.69,11.93,24.29
2025-04-14,84591.58000000,44.4,Neutral,False,4,31,1.0070,0.15,0.97,3.46,12.32,22.36
2025-04-15,83643.99000000,50.0,Neutral,False,4,38,1.0350,-0.79,0.70,11.72,12.69,24.05
2025-04-16,84030.38000000,42.1,Neutral,False,4,29,1.0218,-0.22,0.70,11.50,12.07,23.13
2025-04-17,84947.91000000,39.2,Neutral,False,4,30,1.0097,0.85,0.47,10.63,13.59,21.40
2025-04-18,84474.69000000,47.9,Neutral,False,4,33,0.9679,0.30,0.23,12.03,14.69,26.02
2025-04-19,85077.01000000,39.1,Neutral,False,4,32,0.9977,1.00,0.33,11.23,12.67,24.09
2025-04-20,85179.24000000,40.5,Neutral,False,4,37,0.9991,1.14,0.29,10.06,10.68,25.44
2025-04-21,87516.23000000,46.4,Neutral,False,4,39,1.0068,4.08,1.10,8.56,8.25,25.28
2025-04-22,93442.99000000,57.7,Neutral,False,4,47,1.0186,10.94,1.51,0.87,3.63,19.53
2025-04-23,93691.08000000,59.6,Neutral,False,4,72,1.0065,11.06,0.94,0.51,3.56,14.54
2025-04-24,93980.47000000,54.2,Neutral,False,4,63,0.9928,11.32,0.69,2.67,9.88,14.66
2025-04-25,94638.68000000,56.6,Neutral,False,4,60,1.0072,11.97,0.94,2.38,8.81,15.18
2025-04-26,94628.00000000,59.3,Neutral,False,4,65,0.9381,11.75,0.33,1.30,10.76,15.65
2025-04-27,93749.30000000,58.1,Neutral,False,4,61,0.9357,10.52,0.45,0.56,11.06,16.20
2025-04-28,95011.18000000,50.7,Neutral,False,4,54,0.9245,11.63,0.91,-0.29,8.19,13.44
2025-04-29,94256.82000000,51.5,Neutral,False,4,60,0.8734,10.34,0.79,2.73,10.45,12.02
2025-04-30,94172.00000000,47.9,Neutral,False,4,56,0.8714,9.95,0.85,3.04,9.91,10.42
2025-05-01,96489.91000000,49.4,Neutral,False,4,53,0.9088,12.32,1.07,7.02,7.54,8.40
2025-05-02,96887.14000000,51.2,Neutral,False,4,67,0.9218,12.37,0.75,6.28,6.79,9.04
2025-05-03,95856.42000000,54.7,Neutral,False,4,65,0.9057,10.87,0.51,9.34,7.58,10.43
2025-05-04,94277.62000000,52.5,Neutral,False,4,64,0.8731,8.79,0.61,10.44,12.92,11.77
2025-05-05,94733.68000000,45.6,Neutral,False,4,52,0.8509,9.01,0.96,8.51,11.44,10.52
2025-05-06,96834.02000000,48.6,Neutral,False,4,59,0.8721,11.10,0.91,7.51,10.34,4.83
2025-05-07,97030.50000000,51.5,Neutral,False,4,67,0.8854,10.96,0.93,6.68,13.00,7.48
2025-05-08,103261.60000000,60.5,Neutral,False,4,65,0.8975,17.65,1.81,0.49,8.17,2.22
2025-05-09,102971.99000000,56.0,Neutral,False,4,73,0.9137,16.82,1.36,0.48,4.22,2.68
2025-05-10,104809.53000000,60.4,Neutral,False,4,70,0.9837,18.35,0.74,-1.61,2.82,5.20
2025-05-11,104118.00000000,65.5,Greed,False,4,70,1.0349,17.03,0.90,2.24,4.69,5.91
2025-05-12,102791.32000000,63.0,Neutral,False,4,70,1.0580,15.11,1.62,2.71,6.46,5.69
2025-05-13,104103.72000000,68.0,Greed,False,4,70,1.0786,16.14,1.12,2.64,4.64,1.51
2025-05-14,103507.82000000,68.4,Greed,False,4,73,1.0720,15.07,0.87,5.93,4.13,2.47
2025-05-15,103763.71000000,60.6,Neutral,False,4,70,1.0377,14.92,0.98,7.64,1.76,1.59
2025-05-16,103463.90000000,59.6,Neutral,False,4,71,1.0120,14.18,0.84,3.73,0.50,2.06
2025-05-17,103126.65000000,61.0,Neutral,False,4,74,0.9738,13.34,0.60,4.49,1.42,3.56
2025-05-18,106454.26000000,64.6,Neutral,False,4,74,0.9962,16.38,1.16,2.40,-0.76,-1.79
2025-05-19,105573.74000000,54.2,Neutral,False,4,74,0.9640,14.84,1.57,3.66,0.27,-0.65
2025-05-20,106849.99000000,66.5,Greed,False,4,71,0.9744,15.62,1.21,1.95,-1.38,-2.05
2025-05-21,109643.99000000,70.9,Greed,False,4,70,0.9929,18.02,2.19,-1.70,-4.51,-5.79
2025-05-22,111696.21000000,71.7,Greed,False,4,72,1.0232,19.47,1.46,-5.47,-9.12,-8.57
2025-05-23,107318.30000000,59.9,Neutral,False,4,78,1.0077,14.20,1.39,-3.11,-2.82,-5.92
2025-05-24,107761.91000000,59.6,Neutral,False,4,66,1.0359,14.09,0.73,-2.94,-2.05,-2.25
2025-05-25,109004.19000000,58.9,Neutral,False,4,74,0.9823,14.79,0.77,-3.08,-3.00,-2.68
2025-05-26,109434.79000000,59.4,Neutral,False,4,73,0.9978,14.50,0.64,-3.27,0.76,-1.91
2025-05-27,108938.17000000,60.7,Neutral,False,4,74,0.9684,13.27,0.92,-3.27,1.23,-1.83
2025-05-28,107781.78000000,60.0,Neutral,False,4,71,0.9260,11.34,0.70,-2.86,0.80,-0.68
2025-05-29,105589.75000000,56.6,Neutral,False,4,74,0.8988,8.56,0.91,-3.87,0.08,1.62
2025-05-30,103985.48000000,53.6,Neutral,False,4,60,0.9067,6.38,1.06,0.29,2.00,4.20
2025-05-31,104591.88000000,46.6,Neutral,False,4,50,0.8751,6.54,0.51,0.92,0.79,2.44
2025-06-01,105642.93000000,46.6,Neutral,False,4,56,0.8917,7.16,0.46,0.09,-0.05,0.04
2025-06-02,105857.99000000,50.6,Neutral,False,4,64,0.8831,6.90,0.66,4.16,0.88,2.83
2025-06-03,105376.89000000,55.7,Neutral,False,4,64,0.8849,5.97,0.65,4.65,-0.78,3.99
2025-06-04,104696.86000000,52.0,Neutral,False,4,62,0.9140,4.84,0.70,3.77,0.18,3.14
2025-06-05,101508.68000000,47.4,Neutral,False,4,57,0.8999,1.30,1.09,4.10,3.10,6.59
2025-06-06,104288.44000000,42.4,Neutral,False,4,45,0.9084,3.67,0.77,1.71,-0.95,4.71
2025-06-07,105552.15000000,41.9,Neutral,False,4,52,0.9125,4.49,0.42,-0.13,-3.25,2.57
2025-06-08,105734.00000000,46.8,Neutral,False,4,62,0.9508,4.24,0.43,-0.13,-4.51,3.02
2025-06-09,110263.02000000,58.2,Neutral,False,4,62,0.9797,8.17,1.07,-3.15,-4.47,0.88
2025-06-10,110274.39000000,60.4,Neutral,False,4,71,0.9782,7.70,0.99,-5.19,-3.80,5.20
2025-06-11,108645.12000000,59.7,Neutral,False,4,72,0.9585,5.80,0.80,-3.46,-1.20,8.18
